"filename", "language", "Dart", "comment", "blank", "total"
"/Users/admin/Projects/english_quiz_flutter/lib/main.dart", "Dart", 60, 0, 7, 67
"/Users/admin/Projects/english_quiz_flutter/lib/src/config/routes/app_routes.dart", "Dart", 26, 0, 5, 31
"/Users/admin/Projects/english_quiz_flutter/lib/src/config/themes/app_theme.dart", "Dart", 30, 0, 3, 33
"/Users/admin/Projects/english_quiz_flutter/lib/src/core/bloc/bloc_with_state.dart", "Dart", 17, 0, 5, 22
"/Users/admin/Projects/english_quiz_flutter/lib/src/core/params/auth_request.dart", "Dart", 6, 0, 2, 8
"/Users/admin/Projects/english_quiz_flutter/lib/src/core/resources/data_state.dart", "Dart", 12, 0, 5, 17
"/Users/admin/Projects/english_quiz_flutter/lib/src/core/usecases/usecase.dart", "Dart", 3, 0, 0, 3
"/Users/admin/Projects/english_quiz_flutter/lib/src/core/utils/colors.dart", "Dart", 2, 0, 2, 4
"/Users/admin/Projects/english_quiz_flutter/lib/src/core/utils/constants.dart", "Dart", 3, 0, 1, 4
"/Users/admin/Projects/english_quiz_flutter/lib/src/core/utils/helper.dart", "Dart", 23, 0, 4, 27
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/data/datasources/remote/auth_api_service.dart", "Dart", 13, 0, 4, 17
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/data/datasources/remote/auth_api_service.g.dart", "Dart", 36, 4, 8, 48
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/data/models/auth_model.dart", "Dart", 17, 0, 5, 22
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/data/models/auth_response_model.dart", "Dart", 20, 0, 6, 26
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/data/repositories/auth_repository_impl.dart", "Dart", 32, 0, 6, 38
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/domain/entities/auth.dart", "Dart", 11, 0, 4, 15
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/domain/repositories/auth_repository.dart", "Dart", 6, 1, 1, 8
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/domain/usecases/request_send_sms_usecase.dart", "Dart", 13, 0, 4, 17
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/presentation/blocs/auth/auth_bloc.dart", "Dart", 30, 0, 7, 37
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/presentation/blocs/auth/auth_event.dart", "Dart", 10, 0, 4, 14
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/presentation/blocs/auth/auth_state.dart", "Dart", 17, 0, 8, 25
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/presentation/views/login_view.dart", "Dart", 195, 0, 11, 206
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/presentation/widgets/mybackground_widget.dart", "Dart", 15, 0, 4, 19
"/Users/admin/Projects/english_quiz_flutter/lib/src/features/authentication/presentation/widgets/mybutton_widget.dart", "Dart", 42, 2, 4, 48
"/Users/admin/Projects/english_quiz_flutter/lib/src/injector.dart", "Dart", 12, 4, 6, 22
"Total", "-", 651, 11, 116, 778
